name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,AFG,50000000,53000000,58000000,70000000,64000000,74000000,67000000,66000000,72000000,82000000,86000000,100000000,122000000,143000000,230000000,217000000,291000000,306000000,321000000,474000000,670000000,694000000,708000000,729000000,633000000,567000000,552000000,512000000,395000000,236000000,235100000,189000000,181000000,688000000,105000000,166060000,128260000,144370000,159220000,166240000,137310000,68000000,100000000,144000000,305000000,384000000,408000000,497000000,540066000,403441000,388484000,350000000,
Albania,ALB,49000000,49000000,41000000,48000000,60000000,,,,,,,,,,,,,,,,,,,,,,,,,,230000000,100000000,70000000,122460000,142700000,202000000,211250000,139000000,207740000,351120000,257930000,307190000,339550000,447950000,605400000,658000000,798000000,1077580000,1354830000,1090600000,1544612743.29926,1956383413.93342,
Algeria,DZA,394162000,367425000,192220000,758751000,727153000,637221000,621220000,723305000,830049000,933957000,1008700000,856566000,1304180000,1887450000,4686720000,4700200000,5258870000,5944400000,6325930000,9550860000,13871000000,14396000000,13170000000,12583000000,12795000000,12841000000,7832000000,8225000000,7810000000,9570000000,12930000000,12570000000,11130000000,10230000000,8880000000,10258000000,13220000000,13894000000,10209000000,12525000000,22031000000,19133000000,18799000000,23163000000,31304000000,46002400000,54613000000,60163160000,79298000000,45174050000,57052586000,73390000000,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,127000000,199000000,187000000,177000000,212000000,201000000,254000000,288000000,368000000,308000000,311000000,326800000,315541000,481088000,252000000,272000000,313000000,424000000,415000000,345000000,346000000,317700000,388100000,459500000,445600000,373800000,438500000,450000000,570000000,470000000,300000000,320000000,
Andorra,ADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,124000000,135000000,148000000,163000000,204000000,200000000,221000000,238000000,271000000,326000000,423000000,455000000,479000000,792000000,1202000000,1012000000,619000000,786000000,968000000,1091000000,1883000000,1856000000,1629000000,1822000000,2033000000,2245000000,1332000000,2168000000,2516000000,3015000000,3910000000,3410000000,3755000000,3762000000,3018000000,3642000000,5095000000,5007000000,3543000000,5157000000,7921000000,6534000000,8328000000,9508000000,13475000000,24109000000,31862200000,44396200000,63914000000,40827900000,50594900000,65500000000,
Antigua and Barbuda,ATG,2000000,3000000,3000000,4000000,3000000,4000000,7000000,3000000,8000000,8000000,14000000,16000000,18000000,30000000,32000000,27000000,9000000,33000000,38000000,50000000,30000000,40000000,21000000,20000000,18000000,17000000,20000000,19000000,17000000,16000000,21000000,50000000,65000000,62000000,44000000,53000000,38000000,38000000,36000000,38000000,52000000,41000000,39000000,45004000,57000000,83000000,74000000,59352444.4444444,57614291.8518518,50810464.8148148,45328421.1111111,50000000,
Arab World,ARB,4643419786.79264,4643871207.54028,4907438510.87914,6162629397.97084,6848634331.93972,7251809329.59592,7961815923.91399,7787231346.04033,9272166348.19295,10251746799.2108,11807457376.7554,14942603264.5053,17827592180.7936,28338392926.3204,84149606239.6152,76982202664.5356,93004742851.2675,102027149239.73,100429524018.645,160113910007.485,238761334042.874,227039082437.293,170258800889.261,131622195563.114,124555426777.674,115373529971.219,81043221240.3632,93553893319.2459,94023143575.5636,117609722557.296,145390538371.616,127387937386.704,133368126687.367,127197657908.568,131564879996.093,149795688525.595,179986757673.501,187683820311.579,142352835850.484,177966035698.269,264209327454.245,236058538944.904,245366035035.664,301918358211.074,405994925584.677,559968933585.031,679188493988.807,791097494986.389,1069811140070.03,725388499360.131,918163301469.259,1203371590167.96,
Argentina,ARG,1079200000,964100000,1216000000,1365100000,1410400000,1493400000,1593200000,1464500000,1367900000,1612100000,1773200000,1740400000,1941200000,3266000000,3930700000,2961300000,3916100000,5651800000,6399500000,7809900000,8021000000,9143000000,7625000000,7836000000,8107000000,8396000000,6852000000,6360000000,9135000000,9579000000,12353000000,11978000000,12235000000,13118000000,15659000000,20967000000,23811000000,26370000000,26441000000,23333000000,26341000000,26543000000,25650000000,29566000000,34575700000,40351000000,46546000000,55778800000,70018300000,55672100000,68133400000,84270000000,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216000000,271000000,290000000,233000000,221000000,232000000,294000000,343000000,505160000,685600000,722900000,973900000,985100000,1152300000,1057200000,710200000,1041100000,1329500000,
